ArrestSurrenderID,CaseMasterID,AccusedMasterID,AccusedName,ArrestSurrenderDate,PoliceStationID,ArrestSurrenderTypeID,Status
1,1013,2,Raju Sharma,2023-03-15,5,1,Released
2,1016,3,Raju Sharma,2024-02-23,2,1,Released
3,1028,4,Mohammed Siddiqui,2023-10-05,1,2,Under Surveillance
4,1027,6,Mohammed Siddiqui,2023-02-02,1,2,Under Surveillance
5,1006,7,Vikram Nair,2024-02-20,5,2,Released
6,1022,8,Vikram Nair,2024-01-16,1,2,Under Surveillance
7,1005,11,Suresh Kumar,2022-08-05,1,1,Released
8,1032,12,Suresh Kumar,2023-11-19,2,2,Absconding
9,1025,13,Ramesh Gowda,2023-02-14,6,1,Released
10,1036,14,Ramesh Gowda,2024-06-05,3,2,Released
11,1002,17,Vinod Kumar,2022-08-22,2,2,Absconding
12,1002,18,Kiran Patil,2024-05-24,6,2,Absconding
13,1003,19,Ganesh Rao,2024-04-04,1,1,Under Surveillance
14,1005,22,Imran Khan,2026-04-19,5,1,Under Surveillance
15,1006,23,Prakash Reddy,2024-08-18,3,2,Arrested
16,1006,24,Kiran Patil,2023-03-26,3,1,Under Surveillance
17,1007,25,Manoj Yadav,2025-11-29,5,2,Arrested
18,1008,26,Naveen Raj,2025-05-05,3,2,Under Surveillance
19,1008,27,Manisha Yadav,2024-10-15,5,2,Released
20,1010,29,Manoj Yadav,2023-05-26,5,1,Arrested
21,1013,34,Prakash Reddy,2023-12-25,5,2,Arrested
22,1014,35,Imran Khan,2025-01-06,4,2,Arrested
23,1015,36,Kiran Patil,2024-05-11,2,2,Absconding
24,1016,37,Manoj Yadav,2023-04-29,1,1,Absconding
25,1016,38,Salim Sheikh,2025-06-23,1,2,Released
26,1017,39,Rohit Das,2025-04-01,2,1,Absconding
27,1020,43,Vinod Kumar,2024-07-31,6,1,Arrested
28,1020,44,Kiran Patil,2025-04-20,1,1,Arrested
29,1021,45,Manoj Yadav,2023-08-08,6,2,Absconding
30,1022,46,Manoj Yadav,2025-01-04,3,1,Released
31,1022,47,Ravi Shankar,2022-05-15,1,2,Released
32,1023,49,Ajay Singh,2026-03-01,4,1,Under Surveillance
33,1024,50,Rohit Das,2025-10-31,3,2,Arrested
34,1025,51,Shobha Begum,2026-03-19,4,21,Under Surveillance
35,1026,52,Arjun Shetty,2025-12-30,5,2,Arrested
36,1026,53,Deepak Verma,2023-08-15,2,2,Absconding
37,1027,54,Santhosh Kumar,2025-12-09,3,2,Absconding
38,1027,55,Ganesh Rao,2022-02-02,6,2,Under Surveillance
39,1028,57,Naveen Raj,2022-07-07,3,1,Arrested
40,1030,60,Vinod Kumar,2024-10-25,1,1,Absconding
41,1031,61,Ajay Singh,2023-10-18,6,2,Released
42,1031,62,Sunil Naik,2023-01-20,3,1,Arrested
43,1032,64,Salim Sheikh,2026-03-30,6,1,Absconding
44,1033,65,Salim Sheikh,2024-02-28,5,1,Released
45,1034,66,Ganesh Rao,2024-01-12,6,1,Arrested
46,1037,70,Imran Khan,2024-04-14,4,1,Under Surveillance
47,1038,71,Shobha Begum,2024-06-02,1,21,Arrested
48,1038,72,Ravi Shankar,2024-02-19,5,2,Absconding
49,1039,73,Ganesh Rao,2024-08-16,1,2,Released
50,1039,74,Naveen Raj,2024-08-10,4,2,Arrested
