VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1001,Victim 1,47,F,0
2,1002,Victim 2,52,F,0
3,1003,Victim 3,43,M,0
4,1004,Victim 4,25,F,0
5,1005,Victim 5,46,M,0
6,1006,Victim 6,25,M,0
7,1007,Victim 7,15,F,0
8,1008,Victim 8,68,F,0
9,1009,Victim 9,40,F,0
10,1010,Victim 10,27,M,0
11,1011,Victim 11,35,F,0
12,1012,Victim 12,43,F,0
13,1013,Victim 13,56,M,0
14,1014,Victim 14,24,M,0
15,1015,Victim 15,61,F,0
16,1016,Victim 16,23,F,0
17,1017,Victim 17,37,M,0
18,1018,Victim 18,59,M,0
19,1019,Victim 19,42,M,0
20,1020,Victim 20,38,M,0
21,1021,Victim 21,63,F,0
22,1022,Victim 22,68,M,0
23,1023,Victim 23,59,F,0
24,1024,Victim 24,36,M,0
25,1025,Victim 25,19,F,0
26,1026,Victim 26,38,M,0
27,1027,Victim 27,39,M,0
28,1028,Victim 28,37,M,0
29,1029,Victim 29,40,F,0
30,1030,Victim 30,58,M,0
31,1031,Victim 31,49,M,0
32,1032,Victim 32,63,F,0
33,1033,Victim 33,22,M,0
34,1034,Victim 34,57,F,0
35,1035,Victim 35,26,F,0
36,1036,Victim 36,38,M,0
37,1037,Victim 37,31,M,0
38,1038,Victim 38,60,M,0
39,1039,Victim 39,39,M,0
40,1040,Victim 40,54,M,0
